RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
69	4866.6	80.4	92.3	67.1	4.17E+09	6.80E+01	2.83	1.25E-02	6.31E+01	1.30E-02	6.21E+01	1.28E-02	2.61E-03	6.59E+01	1.35E-02	4.50E-03	22.91	4.84E+00	44.17	9.35E+01	1.92E-02	9.07E-03	6.12E+07
70	3909.2	73.7	87.4	56.9	4.38E+09	5.81E+01	2.83	1.36E-02	5.70E+01	1.46E-02	5.63E+01	1.44E-02	2.31E-03	6.13E+01	1.57E-02	4.03E-03	23.74	5.11E+00	46.44	9.30E+01	2.38E-02	8.93E-03	7.59E+07
71	4436.6	75.6	84.9	66.5	4.05E+09	6.08E+01	2.82	1.18E-02	5.38E+01	1.21E-02							6.43	-3.53E-01	11.44	5.19E+01	1.17E-02	1.62E-03	1.21E+07
72	5016.2	81.5	91.6	69.7	4.05E+09	6.82E+01	3.39	1.32E-02	6.98E+01	1.39E-02	6.99E+01	1.39E-02	2.80E-03	7.16E+01	1.43E-02	4.85E-03	27.69	4.34E+00	53.07	1.04E+02	2.08E-02	1.21E-02	7.97E+07
73	4849.2	82.5	98.3	62.8	3.61E+09	5.93E+01	3.42	1.36E-02	6.84E+01	1.41E-02	6.73E+01	1.39E-02	2.71E-03	7.14E+01	1.47E-02	4.77E-03	25.7	5.15E+00	49.53	1.07E+02	2.20E-02	1.12E-02	7.69E+07
74																							
75	3980.8	74.7	91.4	55.5	4.04E+09	5.45E+01	3.26	1.33E-02	5.50E+01	1.38E-02	5.50E+01	1.38E-02	2.23E-03	5.68E+01	1.43E-02	3.85E-03	24.66	3.79E+00	47.56	8.08E+01	2.03E-02	8.37E-03	6.99E+07
76	3342.7	65.7	70.4	60.4	3.75E+09	4.26E+01	2.93	1.24E-02	4.56E+01	1.36E-02	4.49E+01	1.34E-02	1.78E-03	5.03E+01	1.51E-02	3.16E-03	27.35	3.41E+00	53.58	7.67E+01	2.29E-02	8.49E-03	8.45E+07
77	2735.9	60.5	68.8	50.8	4.43E+09	4.08E+01	2.68	1.31E-02	3.73E+01	1.36E-02	3.73E+01	1.36E-02	1.55E-03	3.85E+01	1.41E-02	2.68E-03	19.33	1.64E+00	37.44	4.69E+01	1.71E-02	4.19E-03	5.07E+07
78	4759.4	84.3	104.3	58.1	4.45E+09	7.18E+01	2.83	1.28E-02	6.51E+01	1.37E-02	6.57E+01	1.38E-02	2.63E-03	6.92E+01	1.45E-02	4.62E-03	22.57	5.10E+00	44.32	9.76E+01	2.05E-02	9.33E-03	6.52E+07
79																							
80	4024.8	77.3	94.2	54.4	4.06E+09	5.45E+01	3.04	1.28E-02	5.34E+01	1.33E-02	5.32E+01	1.32E-02	2.19E-03	5.82E+01	1.45E-02	3.88E-03	22.15	3.45E+00	42	7.61E+01	1.89E-02	7.20E-03	5.85E+07
81	3779.1	73.5	87.3	55.2	3.78E+09	4.80E+01	3.13	1.33E-02	5.20E+01	1.38E-02	5.15E+01	1.36E-02	2.11E-03	5.38E+01	1.42E-02	3.68E-03	24.46	3.36E+00	46.94	7.47E+01	1.98E-02	7.84E-03	6.83E+07
82	4383.6	74.8	79.7	70.1	3.88E+09	5.72E+01	3.06	1.25E-02	5.80E+01	1.32E-02	5.73E+01	1.31E-02	2.34E-03	6.02E+01	1.37E-02	4.09E-03	27.6	3.95E+00	53.36	9.12E+01	2.08E-02	1.04E-02	7.84E+07
83	4607.8	77.7	86.1	68.1	4.01E+09	6.24E+01	2.98	1.30E-02	6.48E+01	1.41E-02	6.50E+01	1.41E-02	2.61E-03	7.02E+01	1.52E-02	4.60E-03	22.8	5.40E+00	44.05	1.01E+02	2.18E-02	9.40E-03	6.76E+07
84	2236.4	53.5	58.8	48.4	4.46E+09	3.35E+01	2.7	1.29E-02	2.99E+01	1.34E-02	2.98E+01	1.33E-02	1.24E-03	3.14E+01	1.40E-02	2.15E-03	22.99	1.86E+00	44.53	4.23E+01	1.89E-02	4.26E-03	6.28E+07
85	3244	65.4	73.3	56.2	4.73E+09	5.13E+01	2.17	1.09E-02	3.81E+01	1.18E-02							7.68	1.71E+00	14.75	4.37E+01	1.35E-02	1.65E-03	1.67E+07
86	3124.9	64.7	70.9	56.1	4.46E+09	4.69E+01	2.77	1.30E-02	4.20E+01	1.34E-02	4.15E+01	1.33E-02	1.74E-03	4.40E+01	1.41E-02	3.00E-03	25.54	2.65E+00	49.6	6.15E+01	1.97E-02	6.80E-03	7.18E+07
87	3975.3	73.2	85.6	59.1	4.19E+09	5.63E+01	3.05	1.33E-02	5.34E+01	1.34E-02	5.22E+01	1.31E-02	2.19E-03	5.48E+01	1.38E-02	3.74E-03	29.09	3.24E+00	56.75	8.20E+01	2.06E-02	1.01E-02	8.45E+07
88	2550.4	57.5	60.6	53.5	4.51E+09	3.86E+01	2.93	1.34E-02	3.65E+01	1.43E-02	3.60E+01	1.41E-02	1.48E-03	3.74E+01	1.46E-02	2.57E-03	29.31	2.36E+00	56.98	5.88E+01	2.31E-02	7.16E-03	9.24E+07
89	3751.8	72.3	85.1	56.1	4.43E+09	5.64E+01	2.96	1.35E-02	5.33E+01	1.42E-02	5.23E+01	1.39E-02	2.16E-03	5.59E+01	1.49E-02	3.72E-03	27	3.98E+00	53.06	8.84E+01	2.36E-02	9.74E-03	8.64E+07
90	4110.2	73.6	84.7	61.8	3.85E+09	5.34E+01	3.15	1.30E-02	5.68E+01	1.38E-02	5.69E+01	1.38E-02	2.29E-03	6.02E+01	1.46E-02	4.01E-03	23.11	4.83E+00	44.54	8.79E+01	2.14E-02	8.27E-03	6.67E+07
91	3480.4	67.4	73.7	60.2	3.87E+09	4.52E+01	2.8	1.22E-02	4.45E+01	1.28E-02	4.36E+01	1.25E-02	1.83E-03	4.58E+01	1.32E-02	3.15E-03	30.12	2.72E+00	58.7	7.20E+01	2.07E-02	9.05E-03	8.55E+07
92	2432.8	55.7	60.1	51.5	3.99E+09	3.25E+01	2.89	1.31E-02	3.37E+01	1.39E-02	3.38E+01	1.39E-02	1.39E-03	3.59E+01	1.48E-02	2.42E-03	23.97	2.84E+00	46.01	5.32E+01	2.19E-02	5.19E-03	7.01E+07
93	3654.2	69.1	74.2	62.7	4.36E+09	5.32E+01	2.16	1.04E-02	3.86E+01	1.06E-02							2.29	2.51E+01	2.56	4.12E+01	1.13E-02	1.93E-04	1.73E+06
94	2951	63.6	74.2	50.7	4.43E+09	4.40E+01	3.04	1.43E-02	4.38E+01	1.49E-02	4.44E+01	1.50E-02	1.79E-03	4.53E+01	1.54E-02	3.12E-03	25.18	2.89E+00	48.45	6.26E+01	2.12E-02	6.86E-03	7.68E+07
95	4258	74.4	82.9	65.7	4.07E+09	5.81E+01	3.22	1.42E-02	6.29E+01	1.48E-02	6.26E+01	1.47E-02	2.54E-03	6.58E+01	1.55E-02	4.45E-03	25.01	3.88E+00	47.58	8.85E+01	2.08E-02	9.56E-03	7.38E+07
